import time: self [us] | cumulative | imported package
import time:       183 |        183 | winreg
import time:       331 |        331 |   _io
import time:        47 |         47 |   marshal
import time:       239 |        239 |   nt
import time:       438 |       1054 | _frozen_importlib_external
import time:      1297 |       1297 |   time
import time:       147 |       1444 | zipimport
import time:        55 |         55 |     _codecs
import time:       344 |        399 |   codecs
import time:      1924 |       1924 |   encodings.aliases
import time:      2950 |       5272 | encodings
import time:      1925 |       1925 | encodings.utf_8
import time:      3143 |       3143 | encodings.cp1252
import time:       131 |        131 | _signal
import time:        92 |         92 |     _abc
import time:       314 |        405 |   abc
import time:       334 |        738 | io
import time:       135 |        135 |       _stat
import time:       142 |        276 |     stat
import time:      1643 |       1643 |     _collections_abc
import time:        97 |         97 |       genericpath
import time:       239 |        239 |       _winapi
import time:       209 |        545 |     ntpath
import time:       621 |       3084 |   os
import time:       184 |        184 |   _sitebuiltins
import time:      2629 |       2629 |   encodings.utf_8_sig
import time:      2528 |       2528 |     pywin32_system32
import time:      9046 |      11573 |   pywin32_bootstrap
import time:      2574 |       2574 |     __future__
import time:      3170 |       3170 |         warnings
import time:      2411 |       5580 |       importlib
import time:       212 |       5791 |     importlib.machinery
import time:      3029 |       3029 |       importlib._abc
import time:      2655 |       2655 |       types
import time:       382 |       6065 |     importlib.util
import time:       624 |        624 |     itertools
import time:      1640 |       1640 |           posix
import time:       271 |       1910 |         posixpath
import time:       251 |        251 |               _operator
import time:      3152 |       3403 |             operator
import time:      2580 |       2580 |                 keyword
import time:      2244 |       2244 |                 reprlib
import time:       199 |        199 |                 _collections
import time:      4402 |       9424 |               collections
import time:       134 |        134 |               _functools
import time:      3629 |      13186 |             functools
import time:      5193 |      21781 |           enum
import time:       202 |        202 |             _sre
import time:      2209 |       2209 |               re._constants
import time:      2921 |       5130 |             re._parser
import time:      1995 |       1995 |             re._casefix
import time:      3475 |      10800 |           re._compiler
import time:      1840 |       1840 |           copyreg
import time:      3599 |      38019 |         re
import time:      3085 |      43014 |       fnmatch
import time:       123 |        123 |       errno
import time:      2027 |       2027 |         urllib
import time:       142 |        142 |         math
import time:      3069 |       3069 |         ipaddress
import time:      4822 |      10058 |       urllib.parse
import time:      3900 |      57093 |     pathlib
import time:      6467 |      78612 |   __editable___duckrun_0_3_17_dev2_finder
import time:      2181 |       2181 |   _distutils_hack
import time:       732 |        732 |   sitecustomize
import time:       521 |        521 |   usercustomize
import time:      8423 |     107935 | site
import time:      2300 |       2300 |       collections.abc
import time:      2144 |       2144 |       contextlib
import time:       139 |        139 |       _typing
import time:      7152 |      11732 |     typing
import time:       245 |        245 |           _datetime
import time:      2697 |       2941 |         datetime
import time:     30786 |      33727 |       _duckdb
import time:      2017 |       2017 |         duckdb.sqltypes
import time:     24232 |      26249 |       duckdb._dbapi_type_object
import time:        99 |         99 |             _csv
import time:      1412 |       1511 |           csv
import time:      1134 |       1134 |           email
import time:        93 |         93 |             binascii
import time:       102 |        102 |               zlib
import time:      1055 |       1055 |                 _compression
import time:      1100 |       1100 |                 _bz2
import time:      1145 |       3299 |               bz2
import time:      1035 |       1035 |                 _lzma
import time:      1122 |       2157 |               lzma
import time:      1637 |       7193 |             shutil
import time:       166 |        166 |               _struct
import time:      1073 |       1238 |             struct
import time:      1058 |       1058 |               _weakrefset
import time:      1480 |       2537 |             threading
import time:      1057 |       1057 |               zipfile._path.glob
import time:      1440 |       2497 |             zipfile._path
import time:      1995 |      15551 |           zipfile
import time:      1697 |       1697 |           textwrap
import time:        91 |         91 |               _ast
import time:      2089 |       2180 |             ast
import time:        44 |         44 |                 _opcode
import time:      1165 |       1209 |               opcode
import time:      1570 |       2779 |             dis
import time:       985 |        985 |                 token
import time:        46 |         46 |                 _tokenize
import time:      1759 |       2789 |               tokenize
import time:       999 |       3787 |             linecache
import time:      1258 |       1258 |             weakref
import time:      2925 |      12928 |           inspect
import time:      1007 |       1007 |               quopri
import time:        56 |         56 |                     _bisect
import time:      2049 |       2104 |                   bisect
import time:        47 |         47 |                   _random
import time:        46 |         46 |                   _sha2
import time:      1202 |       3398 |                 random
import time:      2212 |       2212 |                   _socket
import time:      1029 |       1029 |                     select
import time:      1519 |       2548 |                   selectors
import time:      2133 |       6892 |                 socket
import time:        70 |         70 |                       _locale
import time:      1687 |       1756 |                     locale
import time:      1717 |       3473 |                   calendar
import time:      1112 |       4585 |                 email._parseaddr
import time:      1180 |       1180 |                     base64
import time:       931 |       2111 |                   email.base64mime
import time:        47 |         47 |                       _string
import time:      1466 |       1512 |                     string
import time:      1042 |       2553 |                   email.quoprimime
import time:      1342 |       1342 |                   email.errors
import time:      1012 |       1012 |                   email.encoders
import time:      1144 |       8161 |                 email.charset
import time:      1166 |      24200 |               email.utils
import time:      1430 |       1430 |                 email.header
import time:      1170 |       2600 |               email._policybase
import time:      1130 |       1130 |               email._encoded_words
import time:       907 |        907 |               email.iterators
import time:      1501 |      31341 |             email.message
import time:       818 |        818 |               importlib.metadata._functools
import time:       929 |       1746 |             importlib.metadata._text
import time:      1353 |      34440 |           importlib.metadata._adapters
import time:      1227 |       1227 |           importlib.metadata._meta
import time:      1104 |       1104 |           importlib.metadata._collections
import time:       929 |        929 |           importlib.metadata._itertools
import time:      1371 |       1371 |                 tempfile
import time:      1368 |       1368 |                 importlib.resources.abc
import time:      1650 |       1650 |                 importlib.resources._adapters
import time:      1346 |       5733 |               importlib.resources._common
import time:      1095 |       1095 |               importlib.resources._legacy
import time:       947 |       7775 |             importlib.resources
import time:      1272 |       9046 |           importlib.abc
import time:      2320 |      81882 |         importlib.metadata
import time:      1244 |       1244 |           email.feedparser
import time:      1187 |       2431 |         email.parser
import time:      5388 |      89700 |       duckdb._version
import time:       936 |        936 |         duckdb.value
import time:      1487 |       2423 |       duckdb.value.constant
